".y.","group1","group2","effsize","node","tract","n1","n2","conf.low","conf.high","magnitude"
"pre","0","1",0.519413867578087,28,"Right_IFOF",27,56,0.07,1.05,"moderate"
"pre","0","1",-0.0719280236447594,28,"Right_ILF",27,56,-0.53,0.4,"negligible"
"pre","0","1",0.110226269649953,28,"Right_SLF",27,56,-0.37,0.6,"negligible"
"pre","0","1",-0.152890385629973,29,"Left_Arcuate",27,56,-0.67,0.33,"negligible"
"pre","0","1",0.436186405624304,29,"Left_IFOF",27,56,-0.07,0.98,"small"
"pre","0","1",-0.0153089936860988,29,"Left_ILF",27,56,-0.49,0.46,"negligible"
"pre","0","1",-0.00376076624626965,29,"Left_SLF",27,56,-0.51,0.5,"negligible"
"pre","0","1",0.147731181583465,29,"Right_Arcuate",27,56,-0.45,0.7,"negligible"
"pre","0","1",0.501990680266288,29,"Right_IFOF",27,56,0.04,1,"moderate"
"pre","0","1",-0.063920184540348,29,"Right_ILF",27,56,-0.54,0.39,"negligible"
"pre","0","1",0.0818864056722476,29,"Right_SLF",27,56,-0.39,0.57,"negligible"
"pre","0","1",-0.0221509614187231,30,"Left_Arcuate",27,56,-0.51,0.48,"negligible"
"pre","0","1",0.417880380539406,30,"Left_IFOF",27,56,-0.04,0.93,"small"
"pre","0","1",-0.0105565757860356,30,"Left_ILF",27,56,-0.49,0.49,"negligible"
"pre","0","1",-0.0186582617106752,30,"Left_SLF",27,56,-0.45,0.44,"negligible"
"pre","0","1",0.13448366459318,30,"Right_Arcuate",27,56,-0.39,0.73,"negligible"
"pre","0","1",0.475124799648265,30,"Right_IFOF",27,56,-0.01,0.99,"small"
"pre","0","1",-0.0599858547640765,30,"Right_ILF",27,56,-0.52,0.43,"negligible"
"pre","0","1",0.0729141802251875,30,"Right_SLF",27,56,-0.39,0.55,"negligible"
"pre","0","1",0.0950724535681191,31,"Left_Arcuate",27,56,-0.41,0.63,"negligible"
"pre","0","1",0.42630616414984,31,"Left_IFOF",27,56,-0.06,0.92,"small"
"pre","0","1",0.0154643878523537,31,"Left_ILF",27,56,-0.46,0.49,"negligible"
"pre","0","1",-0.0197199623377408,31,"Left_SLF",27,56,-0.51,0.44,"negligible"
"pre","0","1",0.0697052801422139,31,"Right_Arcuate",27,56,-0.46,0.68,"negligible"
"pre","0","1",0.45525471953282,31,"Right_IFOF",27,56,0.0065,0.97,"small"
"pre","0","1",-0.0534370178540153,31,"Right_ILF",27,56,-0.54,0.39,"negligible"
"pre","0","1",0.0831885438378362,31,"Right_SLF",27,56,-0.4,0.62,"negligible"
"pre","0","1",0.197295313165505,32,"Left_Arcuate",27,56,-0.31,0.73,"negligible"
"pre","0","1",0.435103770185774,32,"Left_IFOF",27,56,-0.04,0.97,"small"
"pre","0","1",0.0633126996054773,32,"Left_ILF",27,56,-0.41,0.54,"negligible"
"pre","0","1",-0.0141172986296124,32,"Left_SLF",27,56,-0.49,0.43,"negligible"
"pre","0","1",0.0242592501896578,32,"Right_Arcuate",27,56,-0.56,0.61,"negligible"
"pre","0","1",0.450373277472568,32,"Right_IFOF",27,56,0.0086,1,"small"
"pre","0","1",-0.0495728525312853,32,"Right_ILF",27,56,-0.54,0.43,"negligible"
"pre","0","1",0.103806693724115,32,"Right_SLF",27,56,-0.34,0.61,"negligible"
"pre","0","1",0.283136493939942,33,"Left_Arcuate",27,56,-0.18,0.77,"small"
"pre","0","1",0.451745250358527,33,"Left_IFOF",27,56,0.02,1.03,"small"
"pre","0","1",0.104355413166999,33,"Left_ILF",27,56,-0.38,0.56,"negligible"
"pre","0","1",-0.00277390542751917,33,"Left_SLF",27,56,-0.47,0.51,"negligible"
"pre","0","1",-0.0137770560283795,33,"Right_Arcuate",27,56,-0.53,0.57,"negligible"
"pre","0","1",0.450095777561744,33,"Right_IFOF",27,56,-0.06,0.97,"small"
"pre","0","1",-0.0463711967940487,33,"Right_ILF",27,56,-0.54,0.38,"negligible"
"pre","0","1",0.132949849412891,33,"Right_SLF",27,56,-0.35,0.63,"negligible"
"pre","0","1",0.354685244473517,34,"Left_Arcuate",27,56,-0.15,0.8,"small"
